problem,bucket,metric,count,mean,std,min,p25,median,p75,max
1,correct,response_length_chars,376,13283.4947,6380.6120,2608.0000,8889.0000,11494.5000,16379.2500,40383.0000
1,correct,response_length_tokens,376,4329.3723,2158.4647,870.0000,2835.5000,3851.5000,5261.2500,13704.0000
1,correct,mean_negative_logprob,376,0.3925,0.2645,0.0000,0.0000,0.4525,0.5796,0.8759
1,correct,mean_logprob,376,-0.3925,0.2645,-0.8759,-0.5796,-0.4525,-0.0000,-0.0000
1,incorrect,response_length_chars,264,24318.9470,10701.2059,3543.0000,15157.0000,23543.0000,32396.0000,58016.0000
1,incorrect,response_length_tokens,264,7589.2348,3233.7944,1130.0000,4990.5000,7383.0000,9909.0000,15504.0000
1,incorrect,mean_negative_logprob,264,0.3077,0.3433,0.0000,0.0000,0.0000,0.6633,0.9404
1,incorrect,mean_logprob,264,-0.3077,0.3433,-0.9404,-0.6633,-0.0000,-0.0000,-0.0000
2,correct,response_length_chars,474,11742.1477,6078.1687,3182.0000,7849.0000,10274.0000,13506.0000,41363.0000
2,correct,response_length_tokens,474,3772.1266,1809.9671,1179.0000,2527.0000,3271.0000,4385.0000,11831.0000
2,correct,mean_negative_logprob,474,0.3177,0.2825,0.0000,0.0000,0.3579,0.5426,0.9829
2,correct,mean_logprob,474,-0.3177,0.2825,-0.9829,-0.5426,-0.3579,-0.0000,-0.0000
2,incorrect,response_length_chars,198,24466.7576,11109.1779,3036.0000,15279.7500,24748.0000,33542.5000,44183.0000
2,incorrect,response_length_tokens,198,7739.5152,3484.7579,821.0000,4805.7500,7843.0000,10173.7500,14685.0000
2,incorrect,mean_negative_logprob,198,0.4694,0.3410,0.0000,0.0000,0.5609,0.7528,1.1079
2,incorrect,mean_logprob,198,-0.4694,0.3410,-1.1079,-0.7528,-0.5609,-0.0000,-0.0000
3,correct,response_length_chars,320,13083.0438,6917.8803,3243.0000,7983.5000,11316.5000,16515.0000,44893.0000
3,correct,response_length_tokens,320,4314.7688,2263.0337,1240.0000,2796.5000,3535.0000,5199.0000,15261.0000
3,correct,mean_negative_logprob,320,0.3919,0.2598,0.0000,0.2170,0.4387,0.5994,0.8703
3,correct,mean_logprob,320,-0.3919,0.2598,-0.8703,-0.5994,-0.4387,-0.2170,-0.0000
3,incorrect,response_length_chars,286,23834.3287,9693.4587,2891.0000,15860.0000,23529.0000,31224.7500,49908.0000
3,incorrect,response_length_tokens,286,7535.1049,3203.3064,1018.0000,5066.7500,7286.0000,9637.5000,15027.0000
3,incorrect,mean_negative_logprob,286,0.2673,0.3174,0.0000,0.0000,0.0000,0.6039,0.8487
3,incorrect,mean_logprob,286,-0.2673,0.3174,-0.8487,-0.6039,-0.0000,-0.0000,-0.0000
4,correct,response_length_chars,250,14844.0240,5672.2285,6024.0000,10730.0000,13447.0000,18372.0000,30582.0000
4,correct,response_length_tokens,250,4983.0960,1858.2498,2053.0000,3545.0000,4627.0000,5910.0000,10106.0000
4,correct,mean_negative_logprob,250,0.3737,0.2915,0.0000,0.0000,0.4449,0.6039,1.0558
4,correct,mean_logprob,250,-0.3737,0.2915,-1.0558,-0.6039,-0.4449,-0.0000,-0.0000
4,incorrect,response_length_chars,348,27631.1034,10769.6874,2789.0000,18941.0000,27417.0000,35833.0000,51150.0000
4,incorrect,response_length_tokens,348,8454.3563,3093.2831,857.0000,6339.0000,8447.0000,10676.0000,16000.0000
4,incorrect,mean_negative_logprob,348,0.3882,0.3734,0.0000,0.0000,0.4374,0.7287,1.1600
4,incorrect,mean_logprob,348,-0.3882,0.3734,-1.1600,-0.7287,-0.4374,-0.0000,-0.0000
5,correct,response_length_chars,290,14230.0414,7399.7217,4205.0000,8677.0000,12369.0000,17468.0000,46772.0000
5,correct,response_length_tokens,290,4563.0483,2124.4333,1487.0000,2973.0000,4121.0000,5487.0000,13905.0000
5,correct,mean_negative_logprob,290,0.4075,0.2489,0.0000,0.3161,0.4081,0.5658,0.8468
5,correct,mean_logprob,290,-0.4075,0.2489,-0.8468,-0.5658,-0.4081,-0.3161,-0.0000
5,incorrect,response_length_chars,352,29653.4602,9092.1617,5552.0000,24002.5000,30177.0000,35285.7500,70128.0000
5,incorrect,response_length_tokens,352,9035.7614,2880.1387,1969.0000,7035.2500,8975.5000,10937.2500,15671.0000
5,incorrect,mean_negative_logprob,352,0.3699,0.3876,0.0000,0.0000,0.2917,0.7450,1.1099
5,incorrect,mean_logprob,352,-0.3699,0.3876,-1.1099,-0.7450,-0.2917,-0.0000,-0.0000
6,correct,response_length_chars,204,17173.9510,8322.2567,3886.0000,11066.0000,15255.5000,22053.0000,43284.0000
6,correct,response_length_tokens,204,5629.7843,2744.4737,1274.0000,3392.0000,5074.5000,7440.0000,13516.0000
6,correct,mean_negative_logprob,204,0.3254,0.2882,0.0000,0.0000,0.4279,0.5839,0.8317
6,correct,mean_logprob,204,-0.3254,0.2882,-0.8317,-0.5839,-0.4279,-0.0000,-0.0000
