path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,11180,11180,,,38346,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,12291,12291,,,38760,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,11033,11033,,,33528,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,8596,8596,,,30554,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,11026,11026,,,38644,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,5791,5791,,,21179,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,12542,12542,,,41266,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,1,False,15259,15259,,,46023,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,2,False,7843,7843,,,28316,-0.0,0.0
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,2024,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/multiple_responses_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_aime_temp_0.6_n_8.jsonl,,2,True,7414,7414,,,25633,-0.0,0.0
