problem,bucket,metric,count,mean,std,min,p25,median,p75,max
1,correct,response_length_chars,327,12864.2385,5844.5139,2608.0000,8496.5000,11557.0000,16060.5000,31343.0000
1,correct,response_length_tokens,327,4202.2446,1961.1011,870.0000,2743.5000,3784.0000,5253.0000,10561.0000
1,correct,mean_negative_logprob,327,0.5229,0.1449,0.1909,0.4209,0.5185,0.6331,0.8759
1,correct,mean_logprob,327,-0.5229,0.1449,-0.8759,-0.6331,-0.5185,-0.4209,-0.1909
1,incorrect,response_length_chars,192,22717.9583,10115.3626,3543.0000,14599.7500,21445.0000,30868.7500,49138.0000
1,incorrect,response_length_tokens,192,7194.3333,3222.2118,1130.0000,4719.2500,6516.5000,9622.5000,15005.0000
1,incorrect,mean_negative_logprob,192,0.6665,0.1648,0.2422,0.5643,0.6912,0.7626,1.1170
1,incorrect,mean_logprob,192,-0.6665,0.1648,-1.1170,-0.7626,-0.6912,-0.5643,-0.2422
2,correct,response_length_chars,381,11485.0157,5667.8480,2676.0000,7849.0000,10189.0000,13128.0000,41363.0000
2,correct,response_length_tokens,381,3663.3701,1680.5031,1000.0000,2497.0000,3240.0000,4362.0000,11831.0000
2,correct,mean_negative_logprob,381,0.4947,0.1667,0.0726,0.3799,0.4759,0.6051,0.9829
2,correct,mean_logprob,381,-0.4947,0.1667,-0.9829,-0.6051,-0.4759,-0.3799,-0.0726
2,incorrect,response_length_chars,171,24503.9064,11361.8985,3089.0000,14870.5000,24508.0000,34087.5000,44183.0000
2,incorrect,response_length_tokens,171,7734.3275,3579.9944,1025.0000,4642.0000,7769.0000,10622.0000,15283.0000
2,incorrect,mean_negative_logprob,171,0.6656,0.1691,0.2903,0.5409,0.6673,0.7827,1.1079
2,incorrect,mean_logprob,171,-0.6656,0.1691,-1.1079,-0.7827,-0.6673,-0.5409,-0.2903
3,correct,response_length_chars,278,13190.5791,6692.9404,3809.0000,7931.0000,11742.5000,16877.0000,33005.0000
3,correct,response_length_tokens,278,4352.2482,2220.9609,1240.0000,2723.2500,3730.0000,5293.0000,10698.0000
3,correct,mean_negative_logprob,278,0.5134,0.1556,0.1994,0.3911,0.5081,0.6325,0.8800
3,correct,mean_logprob,278,-0.5134,0.1556,-0.8800,-0.6325,-0.5081,-0.3911,-0.1994
3,incorrect,response_length_chars,208,22926.6587,10092.3614,2891.0000,14254.0000,21575.0000,30390.5000,47624.0000
3,incorrect,response_length_tokens,208,7356.3702,3356.5753,1018.0000,4673.2500,6719.0000,9909.0000,16000.0000
3,incorrect,mean_negative_logprob,208,0.6513,0.1767,0.1590,0.5390,0.6469,0.7495,1.1073
3,incorrect,mean_logprob,208,-0.6513,0.1767,-1.1073,-0.7495,-0.6469,-0.5390,-0.1590
4,correct,response_length_chars,208,15020.8846,5829.0475,6024.0000,10815.0000,13401.5000,17789.7500,36143.0000
4,correct,response_length_tokens,208,5038.3654,1931.0917,2053.0000,3614.5000,4619.0000,6240.5000,10710.0000
4,correct,mean_negative_logprob,208,0.5300,0.1607,0.2297,0.3905,0.5161,0.6354,1.0558
4,correct,mean_logprob,208,-0.5300,0.1607,-1.0558,-0.6354,-0.5161,-0.3905,-0.2297
4,incorrect,response_length_chars,272,27765.8051,10661.1196,2789.0000,19776.0000,27695.5000,35222.0000,51150.0000
4,incorrect,response_length_tokens,272,8511.1875,3284.0025,857.0000,6142.0000,8728.0000,10766.0000,16000.0000
4,incorrect,mean_negative_logprob,272,0.7017,0.1753,0.2262,0.5898,0.7124,0.8109,1.1625
4,incorrect,mean_logprob,272,-0.7017,0.1753,-1.1625,-0.8109,-0.7124,-0.5898,-0.2262
5,correct,response_length_chars,259,13905.2819,7385.4487,4205.0000,8259.0000,12159.0000,17177.0000,46772.0000
5,correct,response_length_tokens,259,4508.3784,2175.1756,1487.0000,2900.5000,4049.0000,5487.0000,13905.0000
5,correct,mean_negative_logprob,259,0.5013,0.1624,0.2313,0.3778,0.4527,0.6058,0.8468
5,correct,mean_logprob,259,-0.5013,0.1624,-0.8468,-0.6058,-0.4527,-0.3778,-0.2313
5,incorrect,response_length_chars,271,29847.7122,9151.3003,5552.0000,23359.0000,30122.0000,35498.0000,70128.0000
5,incorrect,response_length_tokens,271,9211.2177,2906.9878,1969.0000,7260.0000,9053.0000,11138.0000,15967.0000
5,incorrect,mean_negative_logprob,271,0.7504,0.1859,0.2522,0.6156,0.7461,0.8932,1.1299
5,incorrect,mean_logprob,271,-0.7504,0.1859,-1.1299,-0.8932,-0.7461,-0.6156,-0.2522
6,correct,response_length_chars,167,15691.8563,7976.1442,3886.0000,9862.0000,13662.0000,19734.0000,43284.0000
6,correct,response_length_tokens,167,5088.2695,2589.9020,1274.0000,2985.0000,4631.0000,6436.0000,13516.0000
6,correct,mean_negative_logprob,167,0.5499,0.1356,0.2261,0.4524,0.5592,0.6335,0.8699
6,correct,mean_logprob,167,-0.5499,0.1356,-0.8699,-0.6335,-0.5592,-0.4524,-0.2261
6,incorrect,response_length_chars,316,25752.3259,10390.0313,2090.0000,17020.0000,26257.0000,32009.5000,57948.0000
