year,problem,total,quality,selected
1983,1,24,16,16
1983,2,24,16,16
1983,3,24,16,16
1983,4,24,16,16
1983,5,24,16,16
1983,6,24,16,16
1983,7,24,16,16
1983,8,24,16,16
1983,9,24,16,16
1983,10,24,16,16
1983,11,24,16,16
1983,12,24,16,16
1983,13,24,16,16
1983,14,24,16,16
1983,15,24,16,16
1984,1,24,16,16
1984,2,24,16,16
1984,3,24,16,16
1984,4,24,16,16
1984,5,24,16,16
1984,6,24,16,16
1984,7,24,16,16
1984,8,24,16,16
1984,9,24,16,16
1984,10,24,16,16
1984,11,24,16,16
1984,12,24,16,16
1984,13,24,16,16
1984,14,24,16,16
1985,1,24,16,16
1985,2,24,16,16
1985,3,24,16,16
1985,4,24,16,16
1985,5,24,16,16
1985,6,24,16,16
1985,7,24,16,16
1985,8,24,16,16
1985,9,24,16,16
1985,10,24,16,16
1985,11,24,16,16
1985,12,24,16,16
1985,13,24,16,16
1985,14,24,16,16
1985,15,24,16,16
1986,1,24,16,16
1986,2,24,16,16
1986,3,24,16,16
1986,5,24,16,16
1986,6,24,16,16
1986,7,24,16,16
1986,8,24,16,16
1986,9,24,16,16
1986,10,24,16,16
1986,11,24,16,16
1986,12,24,16,16
1986,13,24,16,16
1986,14,24,16,16
1986,15,24,16,16
1987,1,24,16,16
1987,2,24,16,16
1987,3,24,16,16
1987,4,24,16,16
1987,5,24,16,16
1987,6,24,16,16
1987,7,24,16,16
1987,8,24,16,16
1987,9,24,16,16
1987,10,24,16,16
1987,11,24,16,16
1987,12,24,16,16
1987,14,24,16,16
1987,15,24,16,16
1988,2,24,16,16
1988,3,24,16,16
1988,5,24,16,16
1988,7,24,16,16
1988,8,24,16,16
1988,9,24,16,16
1988,10,24,16,16
1988,13,24,16,16
1988,14,24,16,16
1988,15,24,16,16
1989,1,24,16,16
1989,2,24,16,16
1989,4,24,16,16
1989,5,24,16,16
1989,7,24,16,16
1989,8,24,16,16
1989,9,24,16,16
1989,11,24,16,16
1989,13,24,16,16
1990,1,24,16,16
1990,2,24,16,16
1990,3,24,16,16
1990,5,24,16,16
1990,6,24,16,16
1990,7,24,16,16
1990,9,24,16,16
1990,10,24,16,16
1990,11,24,16,16
1990,13,24,16,16
1990,14,24,16,16
1990,15,24,16,16
1991,1,24,16,16
1991,2,24,16,16
1991,4,24,16,16
1991,5,24,16,16
1991,8,24,16,16
1991,9,24,16,16
1991,10,24,16,16
1991,11,24,16,16
1991,12,24,16,16
1991,13,24,16,16
1991,14,24,16,16
1992,1,24,16,16
1992,2,24,16,16
1992,3,24,16,16
1992,4,24,16,16
1992,5,24,16,16
1992,6,24,16,16
1992,7,24,16,16
1992,8,24,16,16
1992,9,24,16,16
1992,10,24,16,16
1992,11,24,16,16
1992,12,24,16,16
1992,13,24,16,16
1992,14,24,16,16
1992,15,24,16,16
1993,1,24,16,16
1993,2,24,16,16
1993,4,24,16,16
1993,5,24,16,16
1993,6,24,16,16
1993,7,24,16,16
1993,8,24,16,16
1993,9,24,16,16
1993,10,24,16,16
1993,11,24,16,16
1993,12,24,16,16
1993,13,24,16,16
1993,14,24,16,16
1993,15,24,16,16
1994,1,24,16,16
1994,2,24,16,16
1994,8,24,16,16
1994,9,24,16,16
1994,10,24,16,16
1994,11,24,16,16
1994,12,24,16,16
1994,14,24,16,16
1994,15,24,16,16
1995,1,24,16,16
1995,2,24,16,16
1995,3,24,16,16
1995,4,24,16,16
1995,5,24,16,16
1995,6,24,16,16
1995,8,24,16,16
1995,9,24,16,16
1995,10,24,16,16
1995,11,24,16,16
1995,12,24,16,16
1995,13,24,16,16
1995,14,24,16,16
1995,15,24,16,16
1996,2,24,16,16
1996,3,24,16,16
1996,4,24,16,16
1996,5,24,16,16
1996,6,24,16,16
1996,7,24,16,16
1996,8,24,16,16
1996,9,24,16,16
1996,10,24,16,16
1996,11,24,16,16
1996,12,24,16,16
1996,13,24,16,16
1996,14,24,16,16
1996,15,24,16,16
1997,1,32,24,16
1997,2,32,24,16
1997,3,32,24,16
1997,4,32,24,16
1997,5,32,24,16
1997,6,32,24,16
1997,7,32,24,16
1997,8,32,24,16
1997,9,32,24,16
1997,10,32,24,16
1997,11,32,24,16
1997,12,32,24,16
1997,14,32,24,16
1997,15,32,24,16
1998,1,32,24,16
1998,2,32,24,16
1998,3,32,24,16
1998,4,32,24,16
1998,5,32,24,16
1998,6,32,24,16
1998,7,32,24,16
1998,8,32,24,16
1998,9,32,24,16
1998,10,32,24,16
1998,11,32,24,16
1998,12,32,24,16
1998,13,32,24,16
1998,14,32,24,16
1998,15,32,24,16
1999,1,32,24,16
1999,2,32,24,16
1999,3,32,24,16
1999,4,32,24,16
1999,5,32,24,16
1999,6,32,24,16
1999,7,32,24,16
1999,8,32,24,16
1999,9,32,24,16
1999,10,32,24,16
1999,11,32,24,16
1999,12,32,24,16
1999,13,32,24,16
1999,14,32,24,16
1999,15,32,24,16
2000,1,32,24,16
2000,2,64,48,16
2000,3,64,48,16
2000,4,64,48,16
2000,5,64,48,16
2000,6,64,48,16
2000,7,32,24,16
2000,8,64,48,16
2000,9,64,48,16
2000,10,64,48,16
2000,11,64,48,16
2000,12,64,48,16
2000,13,64,48,16
2000,14,64,48,16
2000,15,32,24,16
2001,1,48,32,16
2001,2,48,32,16
2001,3,48,32,16
2001,4,48,32,16
2001,5,48,32,16
2001,6,48,32,16
2001,7,48,32,16
2001,8,48,32,16
2001,9,48,32,16
2001,10,48,32,16
2001,11,48,32,16
2001,12,48,32,16
2001,13,48,32,16
2001,14,48,32,16
2001,15,48,32,16
2002,1,48,32,16
2002,2,48,32,16
2002,3,48,32,16
2002,4,48,32,16
2002,5,48,32,16
2002,6,48,32,16
2002,8,48,32,16
2002,9,48,32,16
2002,10,48,32,16
2002,11,48,32,16
2002,12,48,32,16
2002,13,48,32,16
2002,14,48,32,16
2002,15,48,32,16
2003,1,24,16,16
2003,2,48,32,16
2003,3,48,32,16
2003,4,48,32,16
2003,5,48,32,16
2003,6,48,32,16
2003,7,48,32,16
2003,8,48,32,16
2003,9,48,32,16
2003,10,48,32,16
2003,11,48,32,16
2003,12,48,32,16
2003,13,48,32,16
2003,14,48,32,16
2003,15,24,16,16
2004,1,48,32,16
2004,2,48,32,16
2004,3,48,32,16
2004,4,48,32,16
2004,5,48,32,16
2004,6,48,32,16
2004,7,48,32,16
2004,8,24,16,16
2004,9,48,32,16
2004,10,48,32,16
2004,11,48,32,16
2004,12,48,32,16
2004,13,48,32,16
2004,14,48,32,16
2004,15,48,32,16
2005,1,48,32,16
2005,2,48,32,16
2005,3,48,32,16
2005,4,48,32,16
2005,5,48,32,16
2005,6,48,32,16
2005,7,48,32,16
2005,8,48,32,16
2005,9,48,32,16
2005,10,48,32,16
2005,11,48,32,16
2005,12,48,32,16
2005,13,24,16,16
2005,14,48,32,16
2005,15,48,32,16
2006,1,48,32,16
2006,2,48,32,16
2006,3,48,32,16
2006,4,24,16,16
2006,5,48,32,16
2006,6,48,32,16
2006,7,48,32,16
2006,8,48,32,16
2006,9,48,32,16
2006,10,48,32,16
2006,11,24,16,16
2006,12,48,32,16
2006,13,48,32,16
2006,14,48,32,16
2006,15,48,32,16
2007,1,56,40,16
2007,2,56,40,16
2007,3,32,24,16
2007,4,56,40,16
2007,5,56,40,16
2007,6,56,40,16
2007,7,56,40,16
2007,8,24,16,16
2007,9,48,32,16
2007,10,48,32,16
2007,11,48,32,16
2007,12,48,32,16
2007,13,48,32,16
2007,14,48,32,16
2007,15,48,32,16
2008,1,64,48,16
2008,2,64,48,16
2008,3,64,48,16
2008,4,64,48,16
2008,5,64,48,16
2008,6,64,48,16
2008,7,64,48,16
2008,8,64,48,16
2008,9,64,48,16
2008,10,32,24,16
2008,11,64,48,16
2008,12,64,48,16
2008,13,64,48,16
2008,14,64,48,16
2009,1,64,48,16
2009,2,64,48,16
2009,3,64,48,16
2009,4,64,48,16
2009,5,64,48,16
2009,6,64,48,16
2009,7,64,48,16
2009,8,64,48,16
2009,9,64,48,16
2009,10,64,48,16
2009,11,64,48,16
2009,12,64,48,16
2009,13,64,48,16
2009,14,64,48,16
2009,15,64,48,16
2010,1,128,16,8
2010,2,128,16,8
2010,3,128,16,8
2010,4,128,16,8
2010,5,128,16,8
2010,6,128,16,8
2010,7,128,16,8
2010,8,64,8,8
2010,9,128,16,8
2010,10,128,16,8
2010,11,64,8,8
2010,12,128,16,8
2010,13,128,16,8
2010,14,128,16,8
2010,15,128,16,8
2011,1,128,16,8
2011,2,128,16,8
2011,3,128,16,8
2011,4,128,16,8
2011,5,128,16,8
2011,6,128,16,8
2011,7,128,16,8
2011,8,64,8,8
2011,9,128,16,8
2011,10,128,16,8
2011,11,128,16,8
2011,12,128,16,8
2011,13,128,16,8
2011,14,128,16,8
2011,15,128,16,8
2012,1,128,16,8
2012,2,128,16,8
2012,3,128,16,8
2012,4,128,16,8
2012,5,64,8,8
2012,6,128,16,8
2012,7,64,8,8
2012,8,64,8,8
2012,9,128,16,8
2012,10,128,16,8
2012,11,128,16,8
2012,12,128,16,8
2012,13,128,16,8
2012,14,128,16,8
2012,15,64,8,8
2013,1,128,16,8
2013,2,64,8,8
2013,3,128,16,8
2013,4,128,16,8
2013,5,128,16,8
2013,6,128,16,8
2013,7,128,16,8
2013,8,128,16,8
2013,9,128,16,8
2013,10,128,16,8
2013,11,128,16,8
2013,12,128,16,8
2013,13,128,16,8
2013,14,128,16,8
2013,15,128,16,8
2014,1,128,16,8
2014,2,128,16,8
2014,3,128,16,8
2014,4,128,16,8
2014,5,128,16,8
2014,6,128,16,8
2014,7,128,16,8
2014,8,128,16,8
2014,9,128,16,8
2014,10,128,16,8
2014,11,128,16,8
2014,12,128,16,8
2014,13,128,16,8
2014,14,128,16,8
2014,15,128,16,8
2015,1,128,16,8
2015,2,128,16,8
2015,3,128,16,8
2015,4,128,16,8
2015,5,128,16,8
2015,6,128,16,8
2015,7,128,16,8
2015,8,128,16,8
2015,9,128,16,8
2015,10,128,16,8
2015,11,128,16,8
2015,12,128,16,8
2015,13,128,16,8
2015,14,128,16,8
2015,15,112,16,8
2016,1,128,16,8
2016,2,128,16,8
2016,3,128,16,8
2016,4,128,16,8
2016,5,128,16,8
2016,6,128,16,8
2016,7,128,16,8
2016,8,128,16,8
2016,9,128,16,8
2016,10,128,16,8
2016,11,128,16,8
2016,12,128,16,8
2016,13,128,16,8
2016,14,128,16,8
2016,15,128,16,8
2017,1,128,16,8
2017,2,128,16,8
2017,3,128,16,8
2017,4,128,16,8
2017,5,128,16,8
2017,6,128,16,8
2017,7,128,16,8
2017,8,128,16,8
2017,9,128,16,8
2017,10,128,16,8
2017,11,128,16,8
2017,12,128,16,8
2017,13,128,16,8
2017,14,128,16,8
2017,15,128,16,8
2018,1,128,16,8
2018,2,128,16,8
2018,3,128,16,8
2018,4,128,16,8
2018,5,128,16,8
2018,6,128,16,8
2018,7,128,16,8
2018,8,128,16,8
2018,9,128,16,8
2018,10,128,16,8
2018,11,128,16,8
2018,12,128,16,8
2018,13,128,16,8
2018,14,128,16,8
2018,15,128,16,8
2019,1,128,16,8
2019,2,128,16,8
2019,3,128,16,8
2019,4,128,16,8
2019,5,128,16,8
2019,6,128,16,8
2019,7,128,16,8
2019,8,128,16,8
2019,9,128,16,8
2019,10,128,16,8
2019,11,128,16,8
2019,12,128,16,8
2019,13,128,16,8
2019,14,128,16,8
2019,15,128,16,8
2020,1,128,16,8
2020,2,128,16,8
2020,3,128,16,8
2020,4,128,16,8
2020,5,128,16,8
2020,6,128,16,8
2020,7,128,16,8
2020,8,128,16,8
2020,9,128,16,8
2020,10,128,16,8
2020,11,128,16,8
2020,12,128,16,8
2020,13,128,16,8
