path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_4/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_4/result.json,,2,True,2816,2816,2816,True,8187,-0.30475075058638873,0.30475075058638873
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_0/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_0/result.json,,2,True,3271,3271,3271,True,9417,-0.2886427721593077,0.2886427721593077
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_7/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_7/result.json,,2,True,4605,4605,4605,True,12244,-0.3649010332113723,0.3649010332113723
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_2/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_2/result.json,,2,False,10616,10616,10616,True,28879,-0.5806745370658751,0.5806745370658751
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_5/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_5/result.json,,2,True,8682,8682,8682,True,26881,-0.6337334300554327,0.6337334300554327
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_3/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_3/result.json,,2,True,3934,3934,3934,True,11296,-0.39070389247942333,0.39070389247942333
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_6/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_6/result.json,,2,True,4719,4719,4719,True,14018,-0.44030981991643425,0.44030981991643425
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_1/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/2/gen_1/result.json,,2,False,14685,14685,14685,True,35986,-0.4923826939355596,0.4923826939355596
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/15/gen_4/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/15/gen_4/result.json,,15,False,6207,6207,6207,True,25622,-1.0218485705332545,1.0218485705332545
experiment_archive/2025-09-05_13-31-54_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/15/gen_0/result.json,2000,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/2000/I/15/gen_0/result.json,,15,False,8008,8008,8008,True,30317,-1.0139490016537505,1.0139490016537505
