problem,bucket,metric,count,mean,std,min,p25,median,p75,max
1,correct,response_length_chars,1118,4144.3193,2252.2843,1066.0000,2594.0000,3345.0000,4928.0000,13704.0000
1,correct,response_length_tokens,622,1762.1286,2559.5429,0.0000,0.0000,0.0000,3060.5000,11609.0000
1,correct,mean_negative_logprob,1118,0.1820,0.2694,0.0000,0.0000,0.0000,0.4475,0.8674
1,correct,mean_logprob,1118,-0.1820,0.2694,-0.8674,-0.4475,-0.0000,-0.0000,-0.0000
1,incorrect,response_length_chars,808,7613.3639,3379.5287,852.0000,4999.0000,7500.0000,10387.0000,16000.0000
1,incorrect,response_length_tokens,445,2983.4090,4281.0890,0.0000,0.0000,0.0000,5784.0000,16000.0000
1,incorrect,mean_negative_logprob,808,0.2345,0.3391,0.0000,0.0000,0.0000,0.6001,1.1170
1,incorrect,mean_logprob,808,-0.2345,0.3391,-1.1170,-0.6001,-0.0000,-0.0000,-0.0000
2,correct,response_length_chars,1223,3806.3663,1838.4589,1000.0000,2491.0000,3281.0000,4666.0000,14088.0000
2,correct,response_length_tokens,673,1447.3611,2261.3931,0.0000,0.0000,0.0000,2715.0000,14088.0000
2,correct,mean_negative_logprob,1223,0.1364,0.2175,0.0000,0.0000,0.0000,0.3140,0.9208
2,correct,mean_logprob,1223,-0.1364,0.2175,-0.9208,-0.3140,-0.0000,-0.0000,-0.0000
2,incorrect,response_length_chars,697,7485.1879,3328.1707,821.0000,4820.0000,7017.0000,9887.0000,15918.0000
2,incorrect,response_length_tokens,403,3966.9826,4678.2218,0.0000,0.0000,0.0000,7885.0000,15283.0000
2,incorrect,mean_negative_logprob,697,0.2615,0.3267,0.0000,0.0000,0.0000,0.5668,1.0052
2,incorrect,mean_logprob,697,-0.2615,0.3267,-1.0052,-0.5668,-0.0000,-0.0000,-0.0000
3,correct,response_length_chars,938,4405.2313,2027.4007,967.0000,3000.0000,3788.0000,5382.0000,15261.0000
3,correct,response_length_tokens,558,2069.4642,2588.1884,0.0000,0.0000,0.0000,3493.0000,11591.0000
3,correct,mean_negative_logprob,938,0.1937,0.2650,0.0000,0.0000,0.0000,0.4091,0.9302
3,correct,mean_logprob,938,-0.1937,0.2650,-0.9302,-0.4091,-0.0000,-0.0000,-0.0000
3,incorrect,response_length_chars,1014,7775.5651,3084.9732,1192.0000,5626.0000,7360.0000,9808.5000,16000.0000
3,incorrect,response_length_tokens,534,2617.7247,4113.4039,0.0000,0.0000,0.0000,5340.5000,16000.0000
3,incorrect,mean_negative_logprob,1014,0.2189,0.3442,0.0000,0.0000,0.0000,0.5240,1.1681
3,incorrect,mean_logprob,1014,-0.2189,0.3442,-1.1681,-0.5240,-0.0000,-0.0000,-0.0000
4,correct,response_length_chars,799,4844.2103,1939.8025,1337.0000,3455.0000,4447.0000,5766.0000,12220.0000
4,correct,response_length_tokens,470,2264.3319,2756.2723,0.0000,0.0000,0.0000,4242.0000,11289.0000
4,correct,mean_negative_logprob,799,0.1851,0.2624,0.0000,0.0000,0.0000,0.3896,1.0558
4,correct,mean_logprob,799,-0.1851,0.2624,-1.0558,-0.3896,-0.0000,-0.0000,-0.0000
4,incorrect,response_length_chars,1044,8337.2577,3054.6998,1775.0000,5892.0000,8284.5000,10543.0000,16000.0000
